"Sample","Subtype"
"GSM119653",3
"GSM119654",3
"GSM119655",3
"GSM119656",3
"GSM119657",3
"GSM119658",3
"GSM119659",3
"GSM119660",3
"GSM119661",3
"GSM119662",3
"GSM119663",3
"GSM119664",3
"GSM119665",3
"GSM238763",1
"GSM238790",3
"GSM238791",1
"GSM238792",1
"GSM238793",1
"GSM238794",1
"GSM238795",1
"GSM238796",1
"GSM238797",1
"GSM238798",1
"GSM238799",3
"GSM238800",3
"GSM238801",3
"GSM238802",2
"GSM238803",2
"GSM238804",2
"GSM238805",2
"GSM238806",2
"GSM238807",2
"GSM238808",1
"GSM238809",1
"GSM238810",1
"GSM238811",3
"GSM238812",3
"GSM238813",2
"GSM238815",1
"GSM238816",1
"GSM238817",3
"GSM238818",3
"GSM238819",1
"GSM238820",3
"GSM238821",3
"GSM238822",1
"GSM238823",1
"GSM238824",1
"GSM238825",1
"GSM238826",1
"GSM238827",2
"GSM238834",2
"GSM238835",2
"GSM238837",1
"GSM238838",2
"GSM238839",2
"GSM238840",2
"GSM238841",2
"GSM238842",2
"GSM238843",3
"GSM238844",2
"GSM238845",3
"GSM238846",3
"GSM238847",3
"GSM238848",1
"GSM238851",1
"GSM238854",3
"GSM238855",1
"GSM238856",1
"GSM238857",3
"GSM238858",1
"GSM238860",1
"GSM238861",1
"GSM238862",1
"GSM238863",3
"GSM238864",3
"GSM238865",3
"GSM238867",1
"GSM238868",2
"GSM238870",3
"GSM238871",1
"GSM238872",1
"GSM238873",1
"GSM238874",1
"GSM238875",3
"GSM238877",3
"GSM238941",1
"GSM238942",3
"GSM238943",1
"GSM238944",1
"GSM238945",1
"GSM238946",2
"GSM238947",1
"GSM238948",1
"GSM238949",1
"GSM238951",3
"GSM238952",2
"GSM238953",3
"GSM238955",1
"GSM238963",1
