"","SNAP25","ACTB","SARS1","ATP5F1B","EGR1","IDH3A","NUTF2","IDH3G","FIG4","SLC17A7","CDK5","ATP6V1E1","MDH2","CDC37","CDK7","NDUFS7","GAPDH","UNC13A","TOMM22","SYT13","Group"
"GSM119615",2312.7224,4598.3516,482.19553,1391.2039,54.229103,143.9141,203.2501,192.72765,808.54535,3113.4575,318.79724,1060.0466,1492.093,91.29265,252.4451,151.3012,3329.82,160.73569,98.396706,125.33188,"Control"
"GSM119616",3648.458,7851.5107,790.54175,2517.6907,336.94458,130.55396,642.5134,576.2186,1957.6349,7360.9336,607.59485,2256.8223,939.09686,101.32947,253.24144,703.455,7475.146,224.34622,9.701952,278.2577,"Control"
"GSM119617",4552.4087,2223.5493,619.89746,1405.9285,406.83197,89.03173,411.27298,325.46613,901.6761,1199.396,529.2935,392.14584,321.15408,18.731207,70.68781,489.11395,7363.3213,376.7819,55.360138,453.10602,"Control"
"GSM119618",5547.08,2869.6091,579.54663,1680.816,259.90164,69.146774,533.7454,655.9822,1726.797,2489.9644,604.52606,805.2035,323.09537,14.047227,75.05481,791.42706,7642.396,298.07352,11.324066,482.20465,"Control"
"GSM119619",5403.5454,12222.2295,2732.0977,10245.673,178.95271,849.2563,707.4019,1334.7173,4946.051,10289.472,1344.8108,10083.343,9093.575,307.03857,837.8604,1532.24,19791.098,724.78845,61.57994,1135.2667,"Control"
"GSM119620",7428.1577,4638.945,791.5431,1909.7806,401.05685,84.51747,692.2684,623.59424,2827.601,4100.1646,695.1755,1461.9323,581.8357,93.03273,161.48335,831.81525,6351.7974,294.77493,80.50574,291.25497,"Control"
"GSM119621",4456.672,6289.7583,701.68085,1242.4165,355.88965,66.59149,580.35754,887.56384,1528.5048,1768.5112,604.8819,660.32776,306.01736,18.147665,163.44127,681.4251,8347.946,198.95506,11.823517,324.70728,"Control"
"GSM119622",4644.125,9166.859,2618.1455,5873.6006,311.81787,110.87489,707.04846,2008.8992,3606.4885,5565.11,1050.4604,5123.3496,1407.9233,170.18845,281.26276,1711.587,15824.199,193.10512,42.27049,440.18442,"Control"
"GSM119623",3834.1267,8397.631,1498.6195,4325.6064,373.7309,160.39908,535.20746,854.21497,3858.6677,9014.895,1030.8242,2746.3428,883.83777,111.69336,195.3233,948.4822,14659.635,294.06094,52.103287,547.9402,"Control"
"GSM119624",3880.123,5227.955,1927.2269,5929.8906,118.99853,116.43062,598.0381,2645.8271,6975.8364,6134.9395,1025.6552,3854.202,1714.7031,199.92584,289.2191,2408.282,17103.287,105.249825,18.881813,364.69385,"Control"
"GSM119625",2884.9866,6202.4673,1224.3152,4195.3345,107.65308,132.81137,457.64224,1165.1412,1482.5552,6086.476,469.36215,4794.132,2297.72,151.40437,344.77737,1174.4258,11191.564,254.9712,18.705143,254.82167,"Control"
"GSM119626",4982.4336,13389.254,1431.8698,2919.835,308.08804,156.5019,937.01746,1122.2333,3904.6108,4623.91,907.359,1071.7474,684.8729,125.92634,160.0814,967.20795,16418.977,377.91846,123.23304,360.8118,"Control"
"GSM119627",3151.7097,7642.724,1662.9092,4034.2236,329.30685,135.75972,672.5578,1227.2144,3604.9626,5821.4326,847.45105,2890.4438,1388.7891,86.91845,265.62292,894.0844,15369.838,254.91331,62.13858,668.9161,"Control"
"GSM119628",1644.4572,17258.953,1335.1385,3546.8074,62.02908,568.54846,512.1836,484.074,1164.4951,8474.931,393.00897,5543.9414,2929.7517,123.18037,192.41574,462.90463,6975.104,121.15758,37.36806,197.5585,"Control"
"GSM119629",998.5416,19723.953,780.5271,842.4329,187.35747,322.4344,641.31085,255.31975,650.0359,8287.393,212.78069,2016.6272,1201.0647,39.292187,99.19471,461.66827,2546.0613,90.70189,27.04549,172.08046,"Control"
"GSM119630",1794.8503,12086.203,373.48523,793.11304,66.90338,76.25037,341.379,142.81755,1191.3641,2457.398,233.96979,1011.0222,541.4176,68.83145,514.4526,237.56787,5621.8057,69.10747,91.856674,174.34705,"Control"
"GSM119631",1400.2527,19291.31,975.0143,2746.4358,51.040916,266.5059,648.82666,364.9688,1043.7411,9363.63,667.9534,4471.095,2441.9949,116.53377,64.2886,436.01053,8676.333,61.17739,52.90197,259.71173,"Control"
