,Gene,Importance
1,ACTB,0.12497272436614476
15,NDUFS7,0.1113780749779246
7,IDH3G,0.10781675611845876
14,CDK7,0.09089419126599195
2,SARS1,0.07741648892469999
12,MDH2,0.07367280852575803
10,CDK5,0.06178608001906012
6,NUTF2,0.05948080632863989
13,CDC37,0.044259405174238584
9,SLC17A7,0.04039636262850498
8,FIG4,0.033382338496384
3,ATP5F1B,0.030928639018750002
16,GAPDH,0.030282677827559938
11,ATP6V1E1,0.02347823140416948
17,UNC13A,0.018230598831755505
19,SYT13,0.01736495911829458
5,IDH3A,0.016854981973641648
0,SNAP25,0.013900249990583818
18,TOMM22,0.01307312131097023
4,EGR1,0.010430503698469172
