"GeneSymbol","Degree","Betweenness"
"TOMM22",8,0.0568192070275403
"GSS",2,0
"SLC17A7",13,0.109578189300412
"IDH3G",13,0.0847660124511976
"GAPDH",39,0.791302429566319
"SYT13",5,0.000679012345679012
"CDC37",5,0.00169753086419753
"FIG4",5,0.049537037037037
"SNAP25",24,0.324119635508524
"EGR1",5,0.000874485596707819
"CDK7",5,0.0252314814814815
"NDUFS7",12,0.105975717526644
"SARS1",8,0.0776893399810067
"NUTF2",5,0.0495216049382716
"ATP6V1E1",3,0.0490740740740741
"MTHFD1",1,0
"ARF1",1,0
"VPS33B",2,0.0173456790123457
"CALM3",1,0
"CDK5",3,0.0237397119341564
"IMPDH2",1,0
"RUVBL1",2,0.00769032921810701
"PPIB",1,0
"EXOC6B",1,0
"NDUFA7",2,0
"MDH2",4,0.0831646684077239
"UBC",3,0.0303240740740741
"PSMD1",1,0
"ACTB",4,0.00135802469135802
"PSMB3",1,0
"YWHAZ",1,0
"PPP2R1A",1,0
"ATP2A2",1,0
"PSMB2",2,0.0293094135802469
"UCHL1",2,0
"KDM1A",2,0
"PFKM",2,0.0148079561042524
"TUBA1A",1,0
"AMPH",2,0.0173456790123457
"SCN3B",1,0
"ATP6V1G2",1,0
"CPNE6",1,0
"GNG3",1,0
"NOP56",1,0
"VPS16",1,0
"THY1",1,0
"CHCHD6",1,0
"DNM1",2,0
"CCT5",2,0.00769032921810701
"CKMT1B",1,0
"TUBB3",3,0
"ATP5F1B",5,0.190621372797299
"TIMM50",1,0
"UNC13A",4,0.0358112874779541
"SYN2",3,0.000132275132275132
"SV2B",3,0.000132275132275132
"GPI",2,0.0202863511659808
"MARS1",3,0.0625664437585734
"MRPL36",1,0
"MAP6",1,0
"ALDOA",1,0
"SMARCA4",1,0
"TUBB4B",1,0
"TUBA1B",1,0
"GABBR1",1,0
"ATP1A3",2,0
"METTL3",1,0
"ANXA7",2,0
"PGM2L1",1,0
"TUBA1C",1,0
"SAMM50",2,0
"GOT1",2,0.0148079561042524
"BCCIP",1,0
"IDH3A",4,0.0261856006647673
"NMRAL1",1,0
"CADPS",1,0
"ATP6V1H",1,0
"ME3",1,0
"GABBR2",1,0
"FAM162A",1,0
"TUBB",1,0
"CRMP1",1,0
