"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
"227084_at",5056.87919257377,5974.72714957764,7.72896323097069,1.12918187778262e-12,2.93990567465546e-10,2.55642698172763,"DTNA"
"209258_s_at",331.06864963777,505.488023764596,7.14498675572157,3.00750845206966e-11,3.80476464757949e-09,1.71314459833904,"SMC3"
"226675_s_at",9435.82002278623,12791.6908217019,7.05281256140691,4.99333177498585e-11,5.73551291591074e-09,1.58084109015501,"MALAT1"
"206826_at",1983.78468301377,2479.88578381366,6.96464235414757,8.08530312372503e-11,8.63406149003254e-09,1.45457024466925,"PMP2"
"230629_s_at",465.364458097656,599.877920504969,6.95325433087526,8.60270357657426e-11,9.11536469087592e-09,1.43828303222419,"EP400"
"242239_at",815.334527047541,1108.16648975155,6.91238233620235,1.07432861315443e-10,1.10619429235817e-08,1.37987100487332,"NSUN6"
"223134_at",562.943620695835,941.324419382609,6.86858756329942,1.3621423898711e-10,1.32282655712615e-08,1.31735963782642,"BBX"
"234969_s_at",662.458763952458,1195.43660892547,6.84898324826734,1.51446848537001e-10,1.42274165700352e-08,1.28940400018797,"EPC1"
"205787_x_at",195.155397116066,294.660679134162,6.82173483131758,1.75443689515634e-10,1.59077673702608e-08,1.25057646718546,"ZC3H11A"
"211993_at",387.402911570984,655.718332900621,6.76520710204656,2.37814074037741e-10,2.04120635761593e-08,1.17013692886196,"WNK1"
"224567_x_at",12964.8602125918,23089.129736087,6.63867057784805,4.6759448987958e-10,3.51177592502281e-08,0.990645134823982,"MALAT1"
"226999_at",220.726016422295,390.972595347826,6.52381582912842,8.5872157910736e-10,5.65550654037411e-08,0.82846857177248,"RNPC3"
"1553274_a_at",172.679067723607,266.616760747826,6.5092956862611,9.26936167961548e-10,6.01189027085381e-08,0.808019988322563,"SNRNP48"
"243648_at",116.024230189016,186.89221448882,6.38776449001006,1.75117273094506e-09,9.97347594421052e-08,0.637376270171695,"ZBED6"
"234989_at",1244.60624743459,1235.46093643043,6.34517276891988,2.18512863081672e-09,1.20556920171447e-07,0.577796828472873,"NEAT1"
"234762_x_at",2158.99615651148,3210.19286024845,6.33465363172326,2.30764215669072e-09,1.25168983052644e-07,0.563100808343101,"NLN"
"211921_x_at",3440.6424253,6350.78138465838,6.31314625651641,2.57952616414602e-09,1.37999601785405e-07,0.53307683016273,"PTMA"
"235213_at",358.293465364033,330.153614152795,6.30161368222934,2.73803956828208e-09,1.44779800189384e-07,0.516990618729573,"ITPKB"
"50221_at",128.162625504295,176.417742857764,6.27902183252436,3.07680314815876e-09,1.59303231179527e-07,0.4855052029298,"TFEB"
"226806_s_at",1879.93599640328,2879.26727776398,6.2689707728008,3.24045125089936e-09,1.66828316518759e-07,0.471508948109622,"NFIA"
"225912_at",183.467689333115,252.338898629193,6.18626162011113,4.95485878810561e-09,2.3311265007215e-07,0.356611841773671,"TP53INP1"
"244040_at",126.052372281508,193.996648503106,6.16240754068974,5.5971035016507e-09,2.584642178655e-07,0.323568485993902,"KCNN3"
"225239_at",2977.25582334443,2235.08550613416,6.13963439510053,6.28619684114986e-09,2.84989894104368e-07,0.292062847012708,"NEAT1"
